Dimensions
   nets = 14111 : 1.0
   modules = 12752 : 1.0
;

Connections
1 : 12704 8118 -1
2 : 3045 12604 -1
3 : 3768 12751 -1
4 : 4993 12737 -1
5 : 6838 12515 -1
6 : 9878 12558 -1
7 : 12652 2554 -1
8 : 3428 12524 -1
9 : 7785 12523 -1
10 : 6570 12607 -1
11 : 12528 460 -1
12 : 10514 12663 -1
13 : 12696 5347 -1
14 : 8419 12560 -1
15 : 11212 12590 -1
16 : 6817 12677 -1
17 : 12519 5845 -1
18 : 7944 12530 -1
19 : 12686 5132 -1
20 : 5140 12552 -1
21 : 12551 2961 -1
22 : 12640 5012 -1
23 : 3882 12633 -1
24 : 12098 12636 -1
25 : 10683 12678 -1
26 : 8619 12514 -1
27 : 2552 12601 -1
28 : 12538 9404 -1
29 : 12599 3822 -1
30 : 1570 12699 -1
31 : 12613 11469 -1
32 : 2240 12614 -1
33 : 12574 8557 -1
34 : 12522 23 -1
35 : 6886 12659 -1
36 : 12664 4434 -1
37 : 2912 12731 -1
38 : 12247 12544 -1
39 : 12742 10780 -1
40 : 688 12648 -1
41 : 5386 12547 -1
42 : 12635 7382 -1
43 : 8288 12587 -1
44 : 2836 12555 -1
45 : 12577 1680 -1
46 : 12668 9033 -1
47 : 6456 12545 -1
48 : 12643 12111 -1
49 : 12593 2547 -1
50 : 12642 8856 -1
51 : 12570 9973 -1
52 : 11678 12710 -1
53 : 12705 11348 -1
54 : 12543 2287 -1
55 : 5370 12690 -1
56 : 11929 12715 -1
57 : 6374 12707 -1
58 : 9206 12618 -1
59 : 9384 12709 -1
60 : 12595 9164 -1
61 : 10209 12623 -1
62 : 264 12631 -1
63 : 12719 12325 -1
64 : 4647 12702 -1
65 : 12583 8601 -1
66 : 10973 12608 -1
67 : 12750 9944 -1
68 : 538 12617 -1
69 : 12740 8230 -1
70 : 12745 5276 -1
71 : 2884 12733 -1
72 : 9369 12622 -1
73 : 11807 12725 -1
74 : 7944 12752 -1
75 : 7874 12548 -1
76 : 12581 1428 -1
77 : 5756 12736 -1
78 : 12598 3149 -1
79 : 1140 12559 -1
80 : 4698 12561 -1
81 : 12741 11329 -1
82 : 12679 2452 -1
83 : 2675 12670 -1
84 : 4982 12654 -1
85 : 27 12518 -1
86 : 12674 9669 -1
87 : 3249 12682 -1
88 : 1845 12660 -1
89 : 7966 12748 -1
90 : 6969 12610 -1
91 : 8305 12602 -1
92 : 12576 6801 -1
93 : 699 12708 -1
94 : 4263 12615 -1
95 : 12616 6569 -1
96 : 8420 12592 -1
97 : 8868 12723 -1
98 : 3748 12596 -1
99 : 12565 2974 -1
100 : 6444 12734 -1
101 : 12714 611 -1
102 : 1177 12746 -1
103 : 12529 9427 -1
104 : 12605 902 -1
105 : 4349 12747 -1
106 : 5215 12612 -1
107 : 6638 12566 -1
108 : 1087 12701 -1
109 : 4042 12526 -1
110 : 12637 5568 -1
111 : 4684 12606 -1
112 : 12512 3210 -1
113 : 12527 4421 -1
114 : 10426 12510 -1
115 : 11195 12534 -1
116 : 11134 12728 -1
117 : 2348 12666 -1
118 : 12591 9212 -1
119 : 12600 2685 -1
120 : 12641 4128 -1
121 : 4436 12549 -1
122 : 7577 12638 -1
123 : 12697 1126 -1
124 : 12656 504 -1
125 : 12582 5836 -1
126 : 3402 12693 -1
127 : 5988 12729 -1
128 : 10873 12546 -1
129 : 6383 12683 -1
130 : 12516 9654 -1
131 : 2658 12626 -1
132 : 12692 176 -1
133 : 4732 12597 -1
134 : 153 12706 -1
135 : 2651 12584 -1
136 : 6992 12603 -1
137 : 1830 12665 -1
138 : 12711 8019 -1
139 : 12572 290 -1
140 : 6296 12573 -1
141 : 1731 12694 -1
142 : 10192 12567 -1
143 : 9687 12687 -1
144 : 3850 12649 -1
145 : 4378 12724 -1
146 : 12609 11095 -1
147 : 11202 12735 -1
148 : 7738 12632 -1
149 : 8439 12511 -1
150 : 6414 12655 -1
151 : 12509 7420 -1
152 : 11353 12541 -1
153 : 5296 12521 -1
154 : 11655 12653 -1
